20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
尽数消散	27	115.08271	3.06934	1.59933	3.06934	1.59933
当场就	26	83.92000	2.40370	1.97910	2.40370	1.97910
不到十分钟	26	1374.28682	2.72721	1.71294	2.72721	1.71294
银袍男子	26	1851.18303	4.10391	2.42551	2.42551	4.10391
无论如何都	26	126.28477	3.11731	2.39052	3.11731	2.39052
短短几个	26	405.68508	2.15991	1.91830	1.91830	2.15991
吞噬炼化	26	232.21673	3.66760	2.92914	3.66760	2.92914
清脆声音	26	98.38130	2.59042	2.14995	2.14995	2.59042
化为两道	26	88.19250	4.13294	3.06086	3.06086	4.13294
竞技场中	26	86.84136	3.11508	3.07741	3.07741	3.11508
青华老怪	26	28755.04306	4.33468	3.48418	3.48418	4.33468
自掌心中	26	700.96259	3.86930	3.61334	3.61334	3.86930
能看出	26	121.74990	2.97625	2.77202	2.77202	2.97625
高级斗技	26	183.60305	2.93988	1.70438	2.93988	1.70438
这净莲妖火	26	3624.74391	3.52623	1.95094	1.95094	3.52623
森罗鬼尊	26	83820.36842	3.30019	2.38976	2.38976	3.30019
戈剌	26	106172.46667	4.05602	2.69026	2.69026	4.05602
懒得再	26	301.69445	3.74833	2.10974	2.10974	3.74833
死寂之门	26	23962.53588	3.38347	2.31682	3.38347	2.31682
斗灵巅峰	26	389.70807	3.58046	2.77041	3.58046	2.77041
不可小觑	26	2056.07339	2.95006	1.92714	2.95006	1.92714
电光火石	26	37303.83964	2.78443	1.53730	2.78443	1.53730
阴骨老	26	1510.44218	3.18083	2.79031	2.79031	3.18083
骸骨山脉	26	1012.46438	3.68386	3.28386	3.28386	3.68386
大统领	26	256.35203	4.16830	2.37239	2.37239	4.16830
肯定不会	26	161.00060	4.36371	3.39275	3.39275	4.36371
广场边缘	26	405.32768	3.28137	2.14261	3.28137	2.14261
诡异莫测	26	2036.95701	4.36371	1.56545	4.36371	1.56545
西龙王	26	8597.85341	3.36371	2.41389	2.41389	3.36371
艹心	26	765.27061	3.47066	2.58842	3.47066	2.58842
变得越加	26	103.57538	4.25776	3.39275	3.39275	4.25776
不会逊色	26	388.50145	4.10391	2.85022	4.10391	2.85022
跟我来吧	26	329.83847	1.92714	1.67624	1.92714	1.67624
指尖处	26	169.10172	3.42662	1.51926	3.42662	1.51926
划起一抹	26	387.57962	4.05602	2.88655	2.88655	4.05602
一口浊气	26	1460.57362	2.86309	2.15991	2.86309	2.15991
某一个	26	101.25510	3.70527	3.35353	3.35353	3.70527
最喜欢	26	277.45418	4.00813	3.08299	4.00813	3.08299
平台上	26	116.85875	3.20987	2.86928	2.86928	3.20987
能量匹练	26	113.40820	3.00096	2.66734	3.00096	2.66734
一条足有	26	566.98976	3.21470	2.69026	2.69026	3.21470
溅起	26	1146.42806	3.71384	1.76806	1.76806	3.71384
前十	26	735.59294	3.16136	2.94461	3.16136	2.94461
涟漪扩散	26	304.97645	3.11508	2.10974	2.10974	3.11508
实质一般	26	106.96455	2.40715	1.86296	1.86296	2.40715
六阶魔核	26	6627.28265	3.90217	2.79031	3.90217	2.79031
六阶魔兽	26	683.42348	3.73431	3.00606	3.73431	3.00606
达到斗圣	26	122.50850	3.91719	2.37239	3.91719	2.37239
地火莲子	26	29180.59338	3.36371	2.92971	3.36371	2.92971
玉手轻轻	26	142.84770	3.11508	2.94439	2.94439	3.11508
太过担心	26	262.54902	1.87314	1.85429	1.85429	1.87314
半圣傀儡	26	741.26856	3.74833	3.69780	3.74833	3.69780
那净莲妖火	26	3405.06246	3.76334	2.78604	2.78604	3.76334
巨大黑尺	26	549.97393	2.50132	2.49970	2.50132	2.49970
根本难以	26	152.70952	4.36371	2.10974	2.10974	4.36371
一种极度	26	138.54560	3.63692	2.97848	2.97848	3.63692
转身离开	26	125.39429	3.69026	2.34050	3.69026	2.34050
灵魂光团	26	90.28271	3.58219	3.30351	3.58219	3.30351
向远处	26	110.22889	2.08506	1.69114	1.69114	2.08506
略微有点	26	98.23834	4.36371	3.97910	3.97910	4.36371
一年多	26	118.46555	3.84411	2.69026	3.84411	2.69026
萧叔叔	26	11736.75227	4.05602	3.50354	3.50354	4.05602
刚刚接触	26	117.62708	4.13366	1.81758	4.13366	1.81758
先前那道	26	124.22377	4.46967	3.77736	3.77736	4.46967
有些发麻	26	222.42596	3.68642	1.95756	3.68642	1.95756
同样是因为	26	140.51650	3.62352	2.56644	2.56644	3.62352
享受到	26	132.60678	4.20987	3.11508	3.11508	4.20987
七星斗宗	26	447.16266	3.55908	2.91719	3.55908	2.91719
隐隐透着	26	274.72607	2.77202	2.03281	2.03281	2.77202
有些奇怪	26	94.73698	3.86930	2.40715	3.86930	2.40715
吓得	26	211.52595	4.46967	3.52623	3.52623	4.46967
泛着许些	26	287.24523	4.62352	2.06505	2.06505	4.62352
